l00,l01,l02,l10,l11,l12,l20,l21,l22,li00,li01,li02,li10,li11,li12,li20,li21,li22,o1,o2
-3476554084835,28255265391812,-42113478785852,15148148,25330448,25330448,-27574892,28215696,28215696,0,7053924,-6332612,4,4474174,1953561,-4,2419549,1833476,281197612767569,172263588355769
12408218695821,-33144088090201,11237077975074,-7074252,-21222756,81737864,5975924,17927772,90107144,12,-11325962,8777495,-4,-3733608,3885657,0,1493981,1768563,281197612767569,201206084637665
1602613649463,-12026233802062,70368744177664,-22952740,-11156792,0,8610812,-44867448,0,0,-11216862,2789198,0,-2152703,-5738185,4,-112445,-1044196,281197612767569,161003732889929
-12329864442980,16801320061067,-70368744177664,25640560,20354604,0,17921136,-29684308,0,0,7421077,5088651,0,4480284,-6410140,-4,-230588,-2422115,281197612767569,249134577176817
32622245201238,37746498976426,7745155264947,-590504,590504,42179276,26476568,-26476568,15473964,4,-2803635,5640098,4,1064856,-4904721,0,6619142,147626,281197612767569,836491779289
23509883930646,-16485223278971,-46858860247018,18483288,26453524,18483288,19502296,-33002540,19502296,4,6636331,3321364,0,4875574,-4620822,-4,1614304,3292017,281197612767569,70648974266113
6895670548764,-35890391433844,-2246799087477,-2263952,-11319760,-197781972,4560624,22803120,-98893748,20,-12791792,25128483,-4,-2386329,4863402,0,-1140156,-565988,281197612767569,230155805389161
19872089964001,50496654213663,-12819105457601,-22195324,22195324,-15102724,2233988,-2233988,-49206788,4,-8929447,1698598,4,3372250,-2077083,0,-558497,-5548831,281197612767569,84128279961105
17174215164515,-53194529013149,-7169935869527,2825612,2825612,51192484,-21444756,-21444756,9941060,4,2424967,-9602632,-4,60298,-3195489,0,5361189,706403,281197612767569,272644608294649
20352156869675,21101248121487,28915339186502,-18119508,-18936260,37055768,-24931220,36082428,-11151208,4,-4542642,-4723231,4,-1754840,4540711,4,4477965,10834,281197612767569,269324635098657
8728276822537,-61640467355127,-18950317931798,-10001372,-10001372,43590568,-20691452,-20691452,-22391704,4,-3510527,-10219282,-4,-2087399,-678360,0,5172863,-2500343,281197612767569,87559348770185
14749827991492,-55618916186172,-18090665508531,-18575600,-18575600,-25808588,10136848,10136848,-46527820,4,-9845313,3905856,-4,-1786642,2546291,0,-2534212,-4643900,281197612767569,47732792454961
-18192233826070,-15513661186801,-52176510351594,22477736,18765884,-22477736,18664168,-34507492,-18664168,-4,5367905,4717472,0,4666042,-5619434,-4,-3258968,26001,281197612767569,166573851575577
-18548560215540,30996920595025,39371823582639,-34383824,5072196,-5072196,10831152,31147268,-31147268,0,-7786817,1268049,4,-537507,5143746,4,-3245295,-3452210,281197612767569,28772858958145
